cid,tau_i_pp,tau_centered,tau_tilde,rank,decile,pre_policy_weight
26029,-0.0897922792194705,-0.0767809313667022,0,64,1,
26037,-0.357613630337536,-0.344602282484768,0,65,1,
26045,-0.309005020745387,-0.295993672892619,0,66,1,
26067,-0.158638190522139,-0.145626842669371,0,67,1,
26081,-0.13777417454717,-0.124762826694402,0,68,1,
26083,-0.0875010987963546,-0.0744897509435863,0,69,1,
26087,-0.173314446500029,-0.160303098647261,0,70,1,
26093,-0.467667309949524,-0.454655962096756,0,71,1,
26097,-0.106464487409855,-0.0934531395570867,0,72,1,
26111,-0.269440022147545,-0.256428674294777,0,73,1,
26115,-0.0957745209340821,-0.0827631730813138,0,74,1,
26137,-0.0861149102104129,-0.0731035623576446,0,75,1,
26139,-0.344616338140043,-0.331604990287275,0,76,1,
26141,-0.127703206754237,-0.114691858901469,0,77,1,
26147,-0.0717038459720702,-0.0586924981193019,0,78,1,
26153,-0.105794610520796,-0.0927832626680277,0,79,1,
26155,-0.140060197901902,-0.127048850049134,0,80,1,
26157,-0.0638916355659383,-0.05088028771317,0,81,1,
26159,-0.086342075947303,-0.0733307280945347,0,82,1,
26161,-0.0941960829775164,-0.0811847351247481,0,83,1,
