Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
1486.0,2654.0,1766.0,888.0,279697.0,2019,Cheboygan,17,0
1460.0,2590.0,1719.0,871.0,264627.0,2019,Cheboygan,17,0
1580.0,2855.0,1904.0,951.0,297412.0,2019,Cheboygan,17,0
1796.0,3379.0,2085.0,1294.0,375968.0,2019,Chippewa,18,0
1795.0,3358.0,2074.0,1284.0,369550.0,2019,Chippewa,18,0
1781.0,3325.0,2057.0,1268.0,367515.0,2019,Chippewa,18,0
1812.0,3396.0,2101.0,1295.0,365936.0,2019,Chippewa,18,0
1777.0,3349.0,2063.0,1286.0,362945.0,2019,Chippewa,18,0
1736.0,3251.0,2016.0,1235.0,347668.0,2019,Chippewa,18,0
1741.0,3264.0,2025.0,1239.0,347323.0,2019,Chippewa,18,0
1719.0,3214.0,2000.0,1214.0,351282.0,2019,Chippewa,18,0
1652.0,3125.0,1928.0,1197.0,344899.0,2019,Chippewa,18,0
1633.0,3092.0,1895.0,1197.0,345389.0,2019,Chippewa,18,0
1640.0,3060.0,1890.0,1170.0,335354.0,2019,Chippewa,18,0
1631.0,3057.0,1880.0,1177.0,328230.0,2019,Chippewa,18,0
1726.0,3239.0,2001.0,1238.0,353505.0,2019,Chippewa,18,0
3137.0,5802.0,3856.0,1946.0,661877.0,2019,Clare,19,0
3092.0,5687.0,3799.0,1888.0,643582.0,2019,Clare,19,0
3100.0,5708.0,3814.0,1894.0,647936.0,2019,Clare,19,0
3095.0,5719.0,3816.0,1903.0,643927.0,2019,Clare,19,0
3120.0,5763.0,3854.0,1909.0,647438.0,2019,Clare,19,0
3106.0,5730.0,3828.0,1902.0,631436.0,2019,Clare,19,0
3075.0,5676.0,3781.0,1895.0,637104.0,2019,Clare,19,0
3067.0,5656.0,3764.0,1892.0,631941.0,2019,Clare,19,0
3065.0,5612.0,3742.0,1870.0,624032.0,2019,Clare,19,0
3030.0,5522.0,3690.0,1832.0,619609.0,2019,Clare,19,0
3025.0,5518.0,3683.0,1835.0,614187.0,2019,Clare,19,0
2992.0,5449.0,3626.0,1823.0,600393.0,2019,Clare,19,0
3075.0,5654.0,3771.0,1882.0,633622.0,2019,Clare,19,0
2049.0,4110.0,2347.0,1763.0,461584.0,2019,Clinton,20,0
1979.0,3980.0,2279.0,1701.0,443773.0,2019,Clinton,20,0
1979.0,3963.0,2273.0,1690.0,443891.0,2019,Clinton,20,0
2004.0,4022.0,2314.0,1708.0,439855.0,2019,Clinton,20,0
2015.0,3995.0,2318.0,1677.0,440733.0,2019,Clinton,20,0
2004.0,3948.0,2303.0,1645.0,443946.0,2019,Clinton,20,0
2032.0,3973.0,2334.0,1639.0,441258.0,2019,Clinton,20,0
2034.0,3989.0,2337.0,1652.0,442137.0,2019,Clinton,20,0
2029.0,3982.0,2332.0,1650.0,446590.0,2019,Clinton,20,0
1975.0,3862.0,2257.0,1605.0,446645.0,2019,Clinton,20,0
1972.0,3896.0,2256.0,1640.0,442871.0,2019,Clinton,20,0
1983.0,3930.0,2275.0,1655.0,450348.0,2019,Clinton,20,0
2005.0,3971.0,2302.0,1669.0,445303.0,2019,Clinton,20,0
1077.0,1885.0,1292.0,593.0,213061.0,2019,Crawford,21,0
1060.0,1857.0,1275.0,582.0,206851.0,2019,Crawford,21,0
1064.0,1837.0,1268.0,569.0,202725.0,2019,Crawford,21,0
1057.0,1833.0,1265.0,568.0,197731.0,2019,Crawford,21,0
1038.0,1796.0,1247.0,549.0,192043.0,2019,Crawford,21,0
1024.0,1765.0,1227.0,538.0,185566.0,2019,Crawford,21,0
1007.0,1739.0,1203.0,536.0,191721.0,2019,Crawford,21,0
995.0,1692.0,1178.0,514.0,184116.0,2019,Crawford,21,0
966.0,1630.0,1145.0,485.0,176060.0,2019,Crawford,21,0
949.0,1602.0,1125.0,477.0,173347.0,2019,Crawford,21,0
921.0,1523.0,1084.0,439.0,165741.0,2019,Crawford,21,0
923.0,1522.0,1085.0,437.0,162729.0,2019,Crawford,21,0
1007.0,1723.0,1200.0,524.0,187641.0,2019,Crawford,21,0
2417.0,4231.0,2824.0,1407.0,465887.0,2019,Delta,22,0
2397.0,4209.0,2809.0,1400.0,459318.0,2019,Delta,22,0
2351.0,4125.0,2744.0,1381.0,454034.0,2019,Delta,22,0
2364.0,4138.0,2768.0,1370.0,444841.0,2019,Delta,22,0
2331.0,4091.0,2729.0,1362.0,438634.0,2019,Delta,22,0
2297.0,4025.0,2684.0,1341.0,428756.0,2019,Delta,22,0
2274.0,3985.0,2651.0,1334.0,429283.0,2019,Delta,22,0
2231.0,3899.0,2597.0,1302.0,417332.0,2019,Delta,22,0
2198.0,3783.0,2537.0,1246.0,407573.0,2019,Delta,22,0
2173.0,3756.0,2518.0,1238.0,407429.0,2019,Delta,22,0
2124.0,3620.0,2442.0,1178.0,392031.0,2019,Delta,22,0
2105.0,3591.0,2415.0,1176.0,384969.0,2019,Delta,22,0
2272.0,3954.0,2643.0,1311.0,427507.0,2019,Delta,22,0
1240.0,2132.0,1422.0,710.0,226097.0,2019,Dickinson,23,0
1225.0,2085.0,1397.0,688.0,221178.0,2019,Dickinson,23,0
1228.0,2104.0,1400.0,704.0,221956.0,2019,Dickinson,23,0
1215.0,2104.0,1391.0,713.0,216271.0,2019,Dickinson,23,0
1208.0,2088.0,1381.0,707.0,216451.0,2019,Dickinson,23,0
1224.0,2084.0,1394.0,690.0,218572.0,2019,Dickinson,23,0
1225.0,2103.0,1398.0,705.0,217788.0,2019,Dickinson,23,0
1203.0,2074.0,1373.0,701.0,215969.0,2019,Dickinson,23,0
1205.0,2071.0,1371.0,700.0,215841.0,2019,Dickinson,23,0
1190.0,2067.0,1354.0,713.0,218394.0,2019,Dickinson,23,0
1177.0,2064.0,1338.0,726.0,216149.0,2019,Dickinson,23,0
1148.0,2035.0,1310.0,725.0,209904.0,2019,Dickinson,23,0
1207.0,2084.0,1377.0,707.0,217881.0,2019,Dickinson,23,0
4034.0,7665.0,4519.0,3146.0,874462.0,2019,Eaton,24,0
3998.0,7624.0,4477.0,3147.0,870676.0,2019,Eaton,24,0
3972.0,7564.0,4442.0,3122.0,860522.0,2019,Eaton,24,0
4033.0,7626.0,4502.0,3124.0,844782.0,2019,Eaton,24,0
4020.0,7542.0,4488.0,3054.0,843848.0,2019,Eaton,24,0
4028.0,7605.0,4505.0,3100.0,845539.0,2019,Eaton,24,0
4011.0,7562.0,4502.0,3060.0,843361.0,2019,Eaton,24,0
4024.0,7589.0,4517.0,3072.0,859832.0,2019,Eaton,24,0
4020.0,7591.0,4517.0,3074.0,848747.0,2019,Eaton,24,0
4003.0,7557.0,4492.0,3065.0,856763.0,2019,Eaton,24,0
3980.0,7539.0,4489.0,3050.0,851033.0,2019,Eaton,24,0
4021.0,7625.0,4529.0,3096.0,854182.0,2019,Eaton,24,0
4012.0,7591.0,4498.0,3093.0,854479.0,2019,Eaton,24,0
979.0,1680.0,1139.0,541.0,170573.0,2019,Emmet,25,0
983.0,1693.0,1140.0,553.0,170822.0,2019,Emmet,25,0
1006.0,1744.0,1170.0,574.0,175760.0,2019,Emmet,25,0
1009.0,1768.0,1174.0,594.0,174698.0,2019,Emmet,25,0
1014.0,1765.0,1176.0,589.0,174566.0,2019,Emmet,25,0
1017.0,1768.0,1183.0,585.0,172884.0,2019,Emmet,25,0
991.0,1735.0,1160.0,575.0,173918.0,2019,Emmet,25,0
970.0,1700.0,1125.0,575.0,174698.0,2019,Emmet,25,0
951.0,1677.0,1101.0,576.0,169018.0,2019,Emmet,25,0
927.0,1626.0,1063.0,563.0,158664.0,2019,Emmet,25,0
904.0,1550.0,1031.0,519.0,153281.0,2019,Emmet,25,0
903.0,1579.0,1035.0,544.0,153057.0,2019,Emmet,25,0
971.0,1690.0,1125.0,566.0,168495.0,2019,Emmet,25,0
41842.0,76550.0,46086.0,30464.0,9672530.0,2019,Genesee,26,0
41091.0,75075.0,45231.0,29844.0,9439015.0,2019,Genesee,26,0
40645.0,74334.0,44727.0,29607.0,9363007.0,2019,Genesee,26,0
40532.0,74274.0,44645.0,29629.0,9212902.0,2019,Genesee,26,0
40114.0,73407.0,44133.0,29274.0,9140975.0,2019,Genesee,26,0
