county_id,YEAR,emp_rate_m,lfpr_m,fpl130_m,snap_m,income_m
26147,2016,0.0913847137831788,0.604050441206015,0.19050224271906,0.403,50930
26149,2016,0.0658523081182089,0.610100071781447,0.219618191839393,0.401,45410
26151,2016,0.0917330832942647,0.570897519776364,0.215329457364341,0.447,42037
26153,2016,0.121037463976945,0.453726572715386,0.27823595365641,0.523,36649
26155,2016,0.088158295281583,0.59037075642938,0.201560748215023,0.397,48470
26157,2016,0.0837891399128022,0.573369997500171,0.22462372521515,0.425,44193
26159,2016,0.076458067262665,0.593131891254945,0.238662309895518,0.425,47141
26161,2016,0.0625513376378968,0.648368242582768,0.189333883518038,0.314,62484
26163,2016,0.129879332289015,0.587985556532589,0.309914220097643,0.375,42043
26165,2016,0.0820596426873174,0.566540948275862,0.267022853613342,0.421,40417
