county,year,month,cases,recipients,adult recipients,child recipients,payments,average per case,average per person,avg. recipients per case,ln_cases,ln_recipients,ln_payments,adult_share,child_share
Shiawassee,2016,8,4825.0,9548.0,5854.0,3694.0,1072678.0,222.31668393782383,112.34583158776707,1.978860103626943,8.481566013773087,9.16408698745872,13.885668883379218,0.613112693757855,0.38688730624214496
Shiawassee,2016,9,4815.0,9451.0,5804.0,3647.0,1067831.0,221.7717549325026,112.98603322399747,1.9628245067497403,8.479491324232226,9.153875834995056,13.88114004628068,0.6141149084752936,0.3858850915247064
Shiawassee,2016,10,4808.0,9434.0,5792.0,3642.0,1062600.0,221.00665557404326,112.63514945940216,1.9621464226289518,8.478036476215044,9.152075463844207,13.87622929299898,0.6139495442018232,0.3860504557981768
Shiawassee,2016,11,4753.0,9295.0,5732.0,3563.0,1043327.0,219.50915211445403,112.24604626143088,1.955606985062066,8.46653127661401,9.137231900155545,13.857925203542262,0.6166756320602474,0.38332436793975255
Shiawassee,2016,12,4723.0,9246.0,5691.0,3555.0,1033881.0,218.90345119627355,111.81927319922129,1.9576540334533137,8.460199469896118,9.13194630454817,13.84883024038687,0.6155094094743673,0.3844905905256327
Shiawassee,2017,1,4705.0,9207.0,5674.0,3533.0,1022299.0,217.27927736450584,111.0349733898121,1.9568544102019128,8.45638105201948,9.127719343287845,13.837564570558184,0.616270229173455,0.383729770826545
Shiawassee,2017,2,4713.0,9235.0,5699.0,3536.0,1033228.0,219.22936558455336,111.88175419599351,1.9594737958837258,8.45807992692373,9.13075589263334,13.84819844010762,0.6171088251218192,0.3828911748781808
Shiawassee,2017,3,4686.0,9134.0,5647.0,3487.0,1019457.0,217.55377720870678,111.61123275673309,1.9492104139991464,8.452334619067742,9.119758993744945,13.83478069056914,0.6182395445587914,0.3817604554412087
Shiawassee,2017,4,4663.0,9079.0,5628.0,3451.0,1006986.0,215.9523911644864,110.91375702169843,1.9470298091357494,8.44741429680832,9.113719333371757,13.822472268922825,0.6198920585967618,0.3801079414032382
Shiawassee,2017,5,4652.0,9029.0,5606.0,3423.0,1006967.0,216.45894239036974,111.52586111418762,1.9408856405846948,8.445052513638554,9.10819689830748,13.822453400557972,0.6208882489755233,0.3791117510244767
Shiawassee,2017,6,4558.0,8807.0,5476.0,3331.0,969398.0,212.68056164984642,110.07130691495401,1.9322071083808687,8.42463920980563,9.08330213880546,13.78443053925945,0.6217781310321335,0.37822186896786647
Shiawassee,2017,7,4472.0,8559.0,5349.0,3210.0,947931.0,211.970259391771,110.75254118471784,1.9139087656529516,8.405591014834934,9.05473863988161,13.76203699377809,0.6249561864703821,0.37504381352961796
Shiawassee,2017,8,4454.0,8542.0,5328.0,3214.0,986337.0,221.4497081275258,115.46909388901896,1.9178266726537943,8.401557847817314,9.052750451401412,13.801753360179447,0.6237415125263405,0.3762584874736596
Shiawassee,2017,9,4454.0,8544.0,5323.0,3221.0,989006.0,222.0489447687472,115.75444756554307,1.9182757072294567,8.401557847817314,9.052984561199976,13.804455677320522,0.6230102996254682,0.37698970037453183
