county,year,month,ok_avg_recip_per_case,ok_avg_per_person,ok_avg_per_case,computed_avg_recip_per_case,computed_avg_per_person,computed_avg_per_case,reported_avg_recip_per_case,reported_avg_per_person,reported_avg_per_case
Bay,2018,3,True,True,True,1.7833630421865716,116.47771040181249,207.7220439691028,1.78,116.0,208.0
Bay,2018,4,True,True,True,1.7767025089605735,115.97565731961537,206.05424133811232,1.78,116.0,206.0
Bay,2018,5,True,True,True,1.7736232230318958,116.24025055566781,206.16640783657866,1.77,116.0,206.0
Bay,2018,6,True,True,True,1.770076481835564,114.9976370510397,203.55461281070745,1.77,115.0,204.0
Bay,2018,7,True,True,True,1.7644029225056892,115.7197746249406,204.1763085399449,1.76,116.0,204.0
Bay,2018,8,True,True,True,1.7617845117845117,115.86273974472732,204.12518037518038,1.76,116.0,204.0
Bay,2018,9,True,True,True,1.761175898931001,113.93247344461305,200.6551263362488,1.76,114.0,201.0
Bay,2018,10,True,True,True,1.758734828981243,115.17335842743621,202.55939683707246,1.76,115.0,203.0
Bay,2018,11,True,True,True,1.7542957481500063,114.37184528490741,200.64204189138343,1.75,114.0,201.0
Bay,2018,12,True,True,True,1.7563972637446161,114.5133068878471,201.13085888016215,1.76,115.0,201.0
Bay,2019,1,True,True,True,1.7596800812492066,112.91219969699156,198.68934873682875,1.76,113.0,199.0
Bay,2019,2,True,True,True,1.7616660239105284,112.52816695855225,198.23704846381284,1.76,113.0,198.0
Bay,2019,3,True,True,True,1.7616384915474643,112.8728131689673,198.8410923276983,1.76,113.0,199.0
Bay,2019,4,True,True,True,1.7514131720783488,113.50979509119567,198.80255028263443,1.75,114.0,199.0
Bay,2019,5,True,True,True,1.7516547524490336,113.71516021765417,199.18970082075722,1.75,114.0,199.0
Bay,2019,6,True,True,True,1.759493670886076,113.05346459674365,198.91685542971354,1.76,113.0,199.0
Bay,2019,7,True,True,True,1.7606734006734006,113.83416201330988,200.42478114478115,1.76,114.0,200.0
Bay,2019,8,True,True,True,1.7579047360564528,113.82731202717308,200.09757090514316,1.76,114.0,200.0
Bay,2019,9,True,True,True,1.7616828833767302,112.05328665888759,197.4023571330684,1.76,112.0,197.0
Bay,2019,10,True,True,True,1.756955017301038,111.36158815188278,195.6573010380623,1.76,111.0,196.0
Bay,2019,11,True,True,True,1.7639275766016713,111.07872088432688,195.93481894150418,1.76,111.0,196.0
Bay,2019,12,True,True,True,1.7608041575492341,111.04295145631067,195.52489059080963,1.76,111.0,196.0
Bay,2020,1,True,True,True,1.7619175506915536,108.2809999237863,190.78219417214987,1.76,108.0,191.0
Bay,2020,2,True,True,True,1.756994404476419,109.5290415529269,192.44191313615775,1.76,110.0,192.0
Bay,2020,3,True,True,True,1.7653865717192267,168.68515450551033,297.794506612411,1.77,169.0,298.0
