county_id,year,population_total,population_18_49,poverty_rate,bachelor_share
26067,2022,66663,29001,10.3,16.8
26069,2013,25662,7820,19,14.4
26069,2014,25504,7785,18.5,14.2
26069,2015,25401,7684,17.7,16.1
26069,2016,25373,7606,16.9,16.3
26069,2017,25317,7466,16.9,16.6
26069,2018,25247,7490,16.4,16.3
26069,2019,25197,7499,15.2,15.9
26069,2020,25213,7440,14.6,15.4
26069,2021,25262,7473,13.7,16.1
26069,2022,25319,7490,15.1,16.3
26071,2013,11723,3479,14.2,18.7
26071,2014,11615,3339,14.6,20.4
26071,2015,11507,3256,15.6,19.3
26071,2016,11393,3221,17.2,18.1
26071,2017,11291,3144,14.2,18.5
26071,2018,11212,3123,14,18.8
26071,2019,11152,3123,13.1,18.5
26071,2020,11099,3148,14.9,18.9
26071,2021,11580,3256,15.3,19.2
26071,2022,11585,3314,14.7,19.9
26073,2013,70400,40363,31.5,25.3
26073,2014,70506,40141,31.8,25.6
26073,2015,70669,39964,30.2,27.3
26073,2016,70574,39471,28.8,28.2
26073,2017,70572,39099,27.3,29.4
26073,2018,70775,38815,26.5,29.2
26073,2019,70688,38518,26,29.1
26073,2020,70363,37959,24.6,29.5
26073,2021,65623,35017,23.8,30.2
26073,2022,64938,34923,23.6,30.7
26075,2013,160126,66320,17,17.2
26075,2014,159927,65590,17.5,17.4
26075,2015,159759,64773,17,20
26075,2016,159483,64232,16.7,20.6
26075,2017,158989,63639,15.2,21.1
26075,2018,158913,63312,14.1,21.4
26075,2019,158636,62918,13.8,22.2
26075,2020,158174,62301,12.4,22.5
26075,2021,160765,63224,12,22.6
26075,2022,160637,63997,12.1,22.5
26077,2013,252763,117671,19.1,35.2
26077,2014,254870,118310,19.1,35
26077,2015,256752,118875,18.3,35.1
26077,2016,258605,119648,17.5,36.1
26077,2017,259830,120176,16.7,37.2
26077,2018,261573,120864,16.1,38.1
26077,2019,262745,121382,14.9,38.8
26077,2020,264322,122170,14.4,39.8
26077,2021,261280,120623,14.3,40.4
26077,2022,261426,121239,13.4,40.5
26079,2013,17142,6381,16.3,10.6
26079,2014,17204,6304,17,11.1
26079,2015,17230,6216,17,12.7
26079,2016,17259,6173,16.8,13.6
26079,2017,17358,6228,18.5,12.5
26079,2018,17463,6277,17,11.9
26079,2019,17585,6328,16.7,11.9
26079,2020,17725,6334,16.4,14.4
26079,2021,17813,6500,15.9,15.9
26079,2022,17934,6569,14.7,17.3
26081,2013,609544,269689,15.5,32.5
26081,2014,615381,270541,15.5,33.1
26081,2015,622590,272611,15.3,33.3
26081,2016,629352,274906,14.9,33.7
26081,2017,636376,277635,13.4,34.7
26081,2018,643140,280832,12.6,35.2
26081,2019,648121,283222,11.7,35.7
26081,2020,652617,285448,11.1,36.8
26081,2021,654958,286481,10.4,38.1
26081,2022,657321,290097,10.7,38.6
26083,2013,2181,614,15.8,24.1
26083,2014,2197,598,18,24.5
26083,2015,2198,576,15.3,22.8
26083,2016,2195,568,17,24.9
26083,2017,2136,555,14.5,25.1
26083,2018,2130,539,12,30.4
26083,2019,2111,537,10.6,32
26083,2020,2102,533,10.3,36.2
26083,2021,2052,536,9.8,36.8
26083,2022,2088,559,7.8,38.3
26085,2013,11485,3562,27.9,8.5
26085,2014,11431,3555,30.5,9.1
26085,2015,11426,3456,28.7,9.4
26085,2016,11415,3415,27.2,9
26085,2017,11669,3501,25,11.4
26085,2018,11763,3501,23.8,11.3
26085,2019,11852,3523,21,11.9
26085,2020,11805,3466,18.9,13.5
26085,2021,12248,3495,19.4,13.1
26085,2022,12285,4039,20.3,12.2
26087,2013,88323,34555,11,15.8
26087,2014,88155,34019,11.6,15.4
26087,2015,88235,33672,10.6,17.5
26087,2016,88310,33366,10.3,17.8
26087,2017,88205,33050,9.7,18.4
26087,2018,88202,32817,10.1,17.8
26087,2019,88038,32563,10.1,18.3
26087,2020,87975,32380,9.8,18.3
26087,2021,88644,32363,9.9,18.6
26087,2022,88687,32521,10.2,19.1
26089,2013,21682,6415,11.2,40.6
26089,2014,21739,6394,11.1,41.6
26089,2015,21772,6307,10.4,40
26089,2016,21764,6259,8.7,41.1
26089,2017,21564,6238,7.7,40.8
26089,2018,21639,6236,6.2,42.8
26089,2019,21652,6249,6.1,44.7
26089,2020,21649,6186,6.4,46.7
26089,2021,22251,6329,6.4,47.3
26089,2022,22426,6377,6.7,48.6
26091,2013,99505,40486,14.1,17.3
26091,2014,99257,39881,14.5,17.6
26091,2015,98902,39518,14.3,19.2
26091,2016,98673,39195,14.4,19.9
26091,2017,98585,38966,13.7,20.5
26091,2018,98474,38712,12.2,20.9
26091,2019,98381,38648,11.4,21
26091,2020,98310,38486,11.3,21.1
26091,2021,99346,38729,10.9,21.9
26091,2022,99263,38806,11.1,22.5
26093,2013,182402,72442,6.2,33.1
26093,2014,183264,71740,6,33.4
26093,2015,184591,71560,5.9,33.6
26093,2016,185841,71472,5.9,34
26093,2017,186946,71403,5.9,34.7
26093,2018,188482,71489,5.6,34.8
26093,2019,189754,71539,5.2,35.4
26093,2020,190832,71461,5.3,36.5
26093,2021,193234,71976,5.1,37.8
26093,2022,194302,72494,4.9,38.1
26095,2013,6550,2709,18.6,11.8
26095,2014,6512,2574,20,10.8
26095,2015,6477,2674,19.5,12.4
26095,2016,6451,2655,21,13.8
26095,2017,6406,2655,19.4,15.1
26095,2018,6364,2600,16.6,16.3
26095,2019,6338,2596,17,18.4
26095,2020,6286,2513,17.1,19.6
26095,2021,5520,2247,16.3,17.9
26095,2022,5442,1826,18.3,17.3
26097,2013,11099,3602,15.3,18.2
26097,2014,11080,3530,15.7,16.1
26097,2015,11044,3469,15.9,18.3
26097,2016,10998,3450,15.5,19.1
26097,2017,10836,3399,15.4,19.1
26097,2018,10817,3394,15.9,21.8
26097,2019,10780,3370,16.4,23.3
26097,2020,10781,3419,15.5,24
26097,2021,10814,3436,15.3,24.7
26097,2022,10843,3479,15.8,25.7
26099,2013,845197,354877,12.5,23.4
26099,2014,849344,353502,12.8,23.7
26099,2015,854689,353076,12.6,23.3
26099,2016,859703,352990,12,23.8
26099,2017,864019,352998,11.8,24.2
26099,2018,868704,353551,11.3,24.5
26099,2019,870325,352760,10.6,24.9
26099,2020,870893,351511,9.9,25.9
26099,2021,879123,353441,10.3,26.1
26099,2022,878453,353914,9.8,26.8
26101,2013,24626,8625,16.9,19.4
26101,2014,24545,8501,17.8,19.2
26101,2015,24536,8401,16.9,19.7
26101,2016,24465,8220,16.1,19.9
26101,2017,24432,8222,14.7,20.5
26101,2018,24444,8174,12.9,20
26101,2019,24457,8174,11.5,20.3
26101,2020,24539,8162,10.8,22.3
26101,2021,24939,8253,10.9,22
26101,2022,25058,8280,11.3,22.5
26103,2013,67358,29952,15.7,28.3
26103,2014,67535,29908,16.8,27.5
26103,2015,67582,29868,17,28.8
26103,2016,67418,29612,16.6,30.1
26103,2017,67145,29273,16.4,30.8
26103,2018,66939,29011,16.4,31.5
26103,2019,66686,28830,15.6,32.9
26103,2020,66403,28681,15.2,34
26103,2021,66380,28746,15.2,34.1
26103,2022,66376,29000,13.6,34.7
26105,2013,28648,10136,16.2,19.6
26105,2014,28705,10026,15.9,19.5
26105,2015,28711,9947,17.2,20.2
26105,2016,28755,9845,16.2,20.8
26105,2017,28800,9786,16,22.2
26105,2018,28884,9727,15.1,23.2
26105,2019,28954,9648,15,23.1
26105,2020,29062,9710,14.7,22
26105,2021,29103,9661,14.8,23.3
26105,2022,29178,9773,13.7,24.2
26107,2013,43007,19786,22.9,22.7
26107,2014,43226,19767,23.4,23.6
26107,2015,43301,19562,23.1,22.7
26107,2016,43259,19409,22.6,21.2
26107,2017,43181,19194,22.5,21.7
26107,2018,43264,19174,21.3,21.9
26107,2019,43251,19023,21.2,22.7
26107,2020,43481,18954,19.5,22.9
26107,2021,40051,17379,19.1,24.4
26107,2022,40128,16260,18,23.7
26109,2013,23917,8274,13.6,14.8
26109,2014,23838,8122,15.1,15.7
26109,2015,23717,8016,16.2,15.1
26109,2016,23568,7914,15.1,15.9
26109,2017,23389,7807,13.5,15.8
26109,2018,23234,7702,12.8,16.7
26109,2019,23074,7607,12.8,16.3
26109,2020,22902,7501,11.1,17.6
26109,2021,23477,7661,10.6,17.5
26109,2022,23433,7722,10.8,16.7
26111,2013,83842,34199,13.4,33.9
26111,2014,83620,33834,13.2,33
26111,2015,83624,33600,13.3,32.5
26111,2016,83559,33261,12.3,32.9
26111,2017,83489,32910,11.3,34.1
26111,2018,83389,32586,10.8,34
26111,2019,83355,32430,10.4,35.2
26111,2020,83445,32383,10.1,34.8
26111,2021,83467,32341,10.7,35.6
26111,2022,83503,32101,10.1,35.6
26113,2013,14940,5383,15.1,12.1
26113,2014,14986,5383,16.1,13
26113,2015,14988,5327,16.8,13.1
26113,2016,15032,5303,15,13.4
26113,2017,14982,5238,15.9,13.4
26113,2018,15006,5220,15.6,13.2
26113,2019,15028,5152,14.2,14
26113,2020,15075,5206,12.9,15.8
26113,2021,15038,5226,12,15.2
26113,2022,15089,5333,11.2,16.9
26115,2013,151408,60750,12.3,17.3
26115,2014,150851,59809,11.8,17.9
26115,2015,150436,58846,11.3,18.6
26115,2016,149945,58108,10.8,18.8
26115,2017,149619,57641,11.2,18.6
26115,2018,149699,57305,10.6,19.1
26115,2019,149727,56989,11.1,20.5
26115,2020,150000,56876,11.2,21
26115,2021,154068,58299,11.3,21.6
26115,2022,154823,58862,10.9,22.6
26117,2013,63234,26099,18.6,12.4
26117,2014,63046,25604,18.9,12.4
26117,2015,63004,25205,18.2,13.1
26117,2016,62922,24955,17.4,12.6
26117,2017,62956,24767,17.5,12.8
26117,2018,63209,24836,16.5,13
26117,2019,63413,24761,14.4,13.3
26117,2020,63516,24878,12.8,14.5
26117,2021,66430,25966,12.7,13.9
26117,2022,66901,27225,12.3,14.4
26119,2013,9598,2731,18.1,9.6
26119,2014,9506,2650,15.8,9.7
26119,2015,9401,2580,16.9,10.7
26119,2016,9317,2517,16.3,11.8
26119,2017,9290,2480,15.1,12
26119,2018,9261,2461,16.6,12.8
26119,2019,9265,2448,16.6,13.7
26119,2020,9270,2488,15.8,14.8
26119,2021,9164,2395,16.3,14.3
26119,2022,9261,2469,18.5,15.2
26121,2013,171153,69725,19.9,17
26121,2014,171328,69214,20.3,16.8
26121,2015,171483,68756,19.2,18.2
26121,2016,172148,68622,19.6,18
26121,2017,172707,68614,18.5,18.6
26121,2018,173043,68436,17.1,19.1
26121,2019,173297,68294,15.5,19.7
26121,2020,173679,68324,14.1,19.7
26121,2021,175633,68977,13,20.5
26121,2022,175947,69989,12.9,20.7
26123,2013,48280,18110,18.6,12.9
26123,2014,48126,17810,19.4,12.7
26123,2015,48029,17561,18.2,13.9
26123,2016,47957,17394,18.2,14.3
26123,2017,47899,17260,17.8,15
26123,2018,48142,17271,17.8,15.9
26123,2019,48366,17288,16.6,16.6
26123,2020,48687,17306,15.9,17.2
26123,2021,49653,17614,15.4,17.1
26123,2022,50130,17912,15.2,18.3
26125,2013,1213406,503614,10.3,45.6
26125,2014,1220798,503214,10.4,46
26125,2015,1229503,504299,10.1,44.4
26125,2016,1235215,504970,9.6,45
26125,2017,1241860,506614,9,45.7
26125,2018,1250843,510887,8.6,46.4
26125,2019,1253185,511193,8.2,47.2
26125,2020,1255340,511451,7.8,48
26125,2021,1271983,517035,7.6,48.9
26125,2022,1272264,518699,7.7,49.5
26127,2013,26456,9514,19.9,14.7
26127,2014,26325,9324,20.3,15.7
26127,2015,26229,9353,20.4,16.8
26127,2016,26152,9238,19.9,17.1
26127,2017,26317,9239,17.5,18.1
26127,2018,26417,9234,17,18.8
26127,2019,26416,9167,15,19.5
26127,2020,26545,9160,14,19.6
26127,2021,26555,9206,13,20.3
26127,2022,26707,9302,13.9,19.6
26129,2013,21537,7052,21.5,10.5
26129,2014,21373,6856,21.5,10.5
26129,2015,21222,6778,21.8,11.7
26129,2016,21103,6670,20,11.4
26129,2017,20979,6605,18.7,11.8
26129,2018,20928,6530,16.9,12.1
26129,2019,20898,6512,17.1,12.2
26129,2020,20895,6498,16,12.3
26129,2021,20745,6434,17,13.3
26129,2022,20820,6519,17.1,14.6
26131,2013,6584,1844,13.8,16.6
