id,county,year,month,date,G,y_raw,y_per1k_total,y_per1k_18_49,y_per100_lf,y_log_raw,y_log_per1k_total,y_log_per1k_18_49,y_log_per100_lf,y_log1p_raw,y_log1p_per1k_total,y_log1p_18_49,y_log1p_per100_lf
26049,Genesee,2016,5,2016-05-01,2018-07,53340,129.1244038829311,325.6092201006007,28.915584274779366,10.884441797736006,4.860776310840036,5.785697950989746,3.364380698038552,10.884460545216813,4.868490945813639,5.788764410696986,3.398379557815542
26049,Genesee,2016,6,2016-06-01,2018-07,53194,128.77097000653612,324.71797626605456,28.7454337159285,10.881700887014485,4.858035400118516,5.782957040268227,3.3584789273569204,10.881719685950467,4.865771127534612,5.786031903470377,3.3926756316708486
26049,Genesee,2016,7,2016-07-01,2018-07,52852,127.94306325498076,322.63026810567953,28.690233204499066,10.875250833534107,4.851585346638138,5.776506986787848,3.3565567583847438,10.87526975411497,4.859370936812784,5.779601716365411,3.390818143392819
26049,Genesee,2016,8,2016-08-01,2018-07,52540,127.18777990268465,320.72569224007424,28.7251375023236,10.86933006323953,4.8456645763435615,5.770586216493272,3.357772610575359,10.869349096176029,4.853496219371393,5.7736992950289,3.391993068380229
26049,Genesee,2016,9,2016-09-01,2018-07,52350,126.72783170737611,319.56585437319916,28.878616033010434,10.865707216298683,4.842041729402713,5.766963369552424,3.363101391581711,10.86572631831299,4.84990168531658,5.770087729117198,3.3971430416889303
26049,Genesee,2016,10,2016-10-01,2018-07,51746,125.26568060229008,315.87879083850174,28.434992856357844,10.854102413454237,4.830436926558267,5.755358566707978,3.3476205295316466,10.854121738432738,4.838388263233358,5.7585193374723165,3.382184199788089
26049,Genesee,2016,11,2016-11-01,2018-07,51285,124.14970103367305,313.0646579088734,27.89532657412645,10.84515359074151,4.8214881038455415,5.746409743995253,3.3284591684928606,10.845173089430226,4.829510629010951,5.749598881617517,3.3636798718040373
26049,Genesee,2016,12,2016-12-01,2018-07,50895,123.20559684330291,310.68393807686675,27.877436776635427,10.83751996588644,4.8138544789904705,5.738776119140181,3.3278176439554423,10.837539613988925,4.821938231634652,5.741989655374564,3.363060555814106
26049,Genesee,2017,1,2017-01-01,2018-07,51025,124.1843745512691,315.1831490518253,28.208842179751553,10.840070987678045,4.821767352818843,5.753153895424631,3.3396354812702236,10.84009058572216,4.829787646973742,5.756321631299086,3.37447147781027
26049,Genesee,2017,2,2017-02-01,2018-07,50838,123.7292549424286,314.0280437333992,28.04700430321086,10.83639938542652,4.818095750567316,5.749482293173105,3.333881827805838,10.836419055558409,4.8261454277567415,5.752661662587977,3.368915355887902
26049,Genesee,2017,3,2017-03-01,2018-07,50649,123.26926774418871,312.8605843473964,27.953992284214653,10.832674766145303,4.814371131286101,5.745757673891889,3.3305600260454575,10.832694509676829,4.822450725342095,5.748948888417917,3.3657080972475533
26049,Genesee,2017,4,2017-04-01,2018-07,50212,122.20569946042771,310.16122058187653,27.689270490402063,10.8240093209381,4.805705686078896,5.737092228684684,3.321044991238205,10.824029236297822,4.8138553118834935,5.740311172013347,3.356523202357413
26049,Genesee,2017,5,2017-05-01,2018-07,50042,121.7919543614818,309.11112483785286,27.373626313515054,10.820617931807726,4.8023142969485235,5.733700839554312,3.309580006549373,10.820637914822164,4.810491495337653,5.736930700464049,3.3454600627711746
26049,Genesee,2017,6,2017-06-01,2018-07,49840,121.30032783214605,307.86336401260115,27.016185860951204,10.816573153461334,4.798269518602131,5.72965606120792,3.2964361627216987,10.816593217465508,4.8064797232467384,5.732898991442466,3.3327824096216907
26049,Genesee,2017,7,2017-07-01,2018-07,49703,120.96689795828964,307.01711038359383,27.10900215440836,10.813820572436036,4.795516937576832,5.726903480182622,3.2998658555446543,10.813840691743529,4.803749679706357,5.7301553346240395,3.3360898864018
26049,Genesee,2017,8,2017-08-01,2018-07,49812,121.23218158055496,307.6904070665267,27.372689955324027,10.81601119784104,4.797707562981836,5.729094105587625,3.3095457993823914,10.816031273123349,4.805922363789553,5.732338855762963,3.3454270612213763
26049,Genesee,2017,9,2017-09-01,2018-07,49463,120.38278723036596,305.5346222743838,27.302735075759664,10.80898019431077,4.790676559451567,5.722063102057356,3.3069868830979017,10.809000411238404,4.798949082991043,5.725330709108936,3.3429584457658494
26049,Genesee,2017,10,2017-10-01,2018-07,49263,119.89602829042958,304.29921551670884,27.325068641317912,10.804928571159946,4.786624936300744,5.718011478906533,3.3078045460930396,10.804948870164282,4.79493090588535,5.721292330188591,3.3437472302586326
26049,Genesee,2017,11,2017-11-01,2018-07,49101,119.50175354908112,303.29853604299217,26.967310353918144,10.801634680173994,4.783331045314791,5.714717587920579,3.2946254048488437,10.801655046150593,4.791664305099358,5.7180092459909,3.331036340770866
