event_week,outcome,value
31,fast_food,10.209578973346192
32,grocery,10.257668427104454
32,fast_food,10.206924150031819
33,grocery,10.248009063995601
33,fast_food,10.180160482972482
34,grocery,10.256217443268861
34,fast_food,10.173703898827794
35,grocery,10.247923076361298
35,fast_food,10.13366081524058
36,grocery,10.258268523073262
36,fast_food,10.092085045553937
37,grocery,10.299308041966073
37,fast_food,10.047272658386122
38,grocery,10.19025161041603
38,fast_food,10.131623125507618
39,grocery,10.193008900915704
39,fast_food,10.098208767353064
40,grocery,10.245811967015246
40,fast_food,10.086187473512506
41,grocery,10.342610731233266
41,fast_food,9.93714347831798
42,grocery,10.229848131194274
42,fast_food,10.058245489437427
43,grocery,10.07502944299363
43,fast_food,10.05327608847351
44,grocery,10.148915894537982
44,fast_food,10.138862826953973
45,grocery,10.051416793548439
45,fast_food,10.046836983218384
46,grocery,10.178592587653615
46,fast_food,10.172494088781487
47,grocery,10.148672468977765
47,fast_food,10.056494407732403
48,grocery,10.1652900777739
48,fast_food,10.104992828129982
49,grocery,10.240201921901972
49,fast_food,10.233442806509784
50,grocery,10.1018335518175
50,fast_food,10.148748170550032
51,grocery,10.127127210644408
51,fast_food,10.167844702727946
52,grocery,10.104662176854143
52,fast_food,10.140472036961466
