Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
11118.0,21292.0,12124.0,9168.0,2525145.0,2018,Berrien,12,0
11038.0,21098.0,12018.0,9080.0,2487202.0,2018,Berrien,12,0
10814.0,20830.0,11761.0,9069.0,2462485.0,2018,Berrien,12,0
10697.0,20592.0,11624.0,8968.0,2420044.0,2018,Berrien,12,0
10309.0,20096.0,11157.0,8939.0,2323451.0,2018,Berrien,12,0
10261.0,20127.0,11107.0,9020.0,2320518.0,2018,Berrien,12,0
10063.0,19704.0,10863.0,8841.0,2272521.0,2018,Berrien,12,0
10006.0,19551.0,10801.0,8750.0,2221514.0,2018,Berrien,12,0
10764.0,20789.0,11688.0,9101.0,2438720.0,2018,Berrien,12,0
2403.0,4948.0,2889.0,2059.0,540589.0,2018,Branch,13,0
2393.0,4950.0,2890.0,2060.0,529867.0,2018,Branch,13,0
2369.0,4820.0,2845.0,1975.0,520021.0,2018,Branch,13,0
2367.0,4822.0,2846.0,1976.0,510347.0,2018,Branch,13,0
2352.0,4808.0,2834.0,1974.0,515248.0,2018,Branch,13,0
2314.0,4703.0,2777.0,1926.0,500777.0,2018,Branch,13,0
2307.0,4671.0,2762.0,1909.0,493948.0,2018,Branch,13,0
2295.0,4629.0,2738.0,1891.0,489617.0,2018,Branch,13,0
2291.0,4605.0,2715.0,1890.0,490286.0,2018,Branch,13,0
2301.0,4590.0,2740.0,1850.0,491194.0,2018,Branch,13,0
2264.0,4498.0,2688.0,1810.0,482340.0,2018,Branch,13,0
2216.0,4356.0,2632.0,1724.0,460024.0,2018,Branch,13,0
2323.0,4700.0,2780.0,1920.0,502022.0,2018,Branch,13,0
11352.0,21065.0,12818.0,8247.0,2533592.0,2018,Calhoun,14,0
11385.0,21116.0,12895.0,8221.0,2510552.0,2018,Calhoun,14,0
11190.0,20755.0,12700.0,8055.0,2491167.0,2018,Calhoun,14,0
11151.0,20637.0,12670.0,7967.0,2442180.0,2018,Calhoun,14,0
11056.0,20423.0,12532.0,7891.0,2416780.0,2018,Calhoun,14,0
11032.0,20367.0,12509.0,7858.0,2395313.0,2018,Calhoun,14,0
