Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
11659.0,21973.0,13200.0,8773.0,5306813.0,2022,Calhoun,14,0
11700.0,22094.0,13246.0,8848.0,5262748.0,2022,Calhoun,14,0
11791.0,22286.0,13365.0,8921.0,5378226.0,2022,Calhoun,14,0
11957.0,22686.0,13565.0,9121.0,5351141.0,2022,Calhoun,14,0
12095.0,23069.0,13752.0,9317.0,5505450.0,2022,Calhoun,14,0
12156.0,23166.0,13803.0,9363.0,5508867.0,2022,Calhoun,14,0
12412.0,23561.0,14101.0,9460.0,5513965.0,2022,Calhoun,14,0
12778.0,24379.0,14530.0,9849.0,5549759.0,2022,Calhoun,14,0
12309.0,23498.0,13997.0,9501.0,5514078.0,2022,Calhoun,14,0
12453.0,23799.0,14178.0,9621.0,5643905.0,2022,Calhoun,14,0
12482.0,23761.0,14194.0,9567.0,5635114.0,2022,Calhoun,14,0
12406.0,23514.0,14090.0,9424.0,5592461.0,2022,Calhoun,14,0
12183.0,23149.0,13835.0,9314.0,5480211.0,2022,Calhoun,14,0
3029.0,5785.0,3495.0,2290.0,1395895.0,2022,Cass,15,0
3042.0,5800.0,3504.0,2296.0,1378407.0,2022,Cass,15,0
3050.0,5826.0,3518.0,2308.0,1415314.0,2022,Cass,15,0
3082.0,5889.0,3557.0,2332.0,1403148.0,2022,Cass,15,0
3110.0,5999.0,3608.0,2391.0,1437338.0,2022,Cass,15,0
3087.0,5931.0,3584.0,2347.0,1422603.0,2022,Cass,15,0
3149.0,6040.0,3645.0,2395.0,1408669.0,2022,Cass,15,0
3256.0,6272.0,3765.0,2507.0,1412492.0,2022,Cass,15,0
3108.0,5937.0,3580.0,2357.0,1409010.0,2022,Cass,15,0
3141.0,5975.0,3622.0,2353.0,1417192.0,2022,Cass,15,0
3194.0,6042.0,3671.0,2371.0,1426012.0,2022,Cass,15,0
3211.0,6034.0,3684.0,2350.0,1430174.0,2022,Cass,15,0
3122.0,5961.0,3603.0,2358.0,1413021.0,2022,Cass,15,0
920.0,1666.0,1084.0,582.0,402996.0,2022,Charlevoix,16,0
934.0,1679.0,1098.0,581.0,398210.0,2022,Charlevoix,16,0
930.0,1689.0,1097.0,592.0,401949.0,2022,Charlevoix,16,0
966.0,1774.0,1146.0,628.0,418106.0,2022,Charlevoix,16,0
974.0,1788.0,1161.0,627.0,428185.0,2022,Charlevoix,16,0
959.0,1759.0,1129.0,630.0,415881.0,2022,Charlevoix,16,0
982.0,1794.0,1149.0,645.0,422898.0,2022,Charlevoix,16,0
1008.0,1829.0,1177.0,652.0,416149.0,2022,Charlevoix,16,0
965.0,1755.0,1122.0,633.0,412771.0,2022,Charlevoix,16,0
947.0,1718.0,1103.0,615.0,404665.0,2022,Charlevoix,16,0
944.0,1696.0,1094.0,602.0,400821.0,2022,Charlevoix,16,0
946.0,1700.0,1098.0,602.0,403356.0,2022,Charlevoix,16,0
956.0,1737.0,1122.0,616.0,410499.0,2022,Charlevoix,16,0
1580.0,2812.0,1913.0,899.0,676303.0,2022,Cheboygan,17,0
1581.0,2822.0,1928.0,894.0,677080.0,2022,Cheboygan,17,0
1633.0,2964.0,2006.0,958.0,712890.0,2022,Cheboygan,17,0
1687.0,3106.0,2085.0,1021.0,734067.0,2022,Cheboygan,17,0
1711.0,3177.0,2123.0,1054.0,756648.0,2022,Cheboygan,17,0
1745.0,3270.0,2165.0,1105.0,768218.0,2022,Cheboygan,17,0
1775.0,3353.0,2200.0,1153.0,784773.0,2022,Cheboygan,17,0
1807.0,3393.0,2233.0,1160.0,774348.0,2022,Cheboygan,17,0
1726.0,3207.0,2124.0,1083.0,756848.0,2022,Cheboygan,17,0
1727.0,3172.0,2113.0,1059.0,747349.0,2022,Cheboygan,17,0
1744.0,3202.0,2129.0,1073.0,748510.0,2022,Cheboygan,17,0
1751.0,3179.0,2125.0,1054.0,751978.0,2022,Cheboygan,17,0
1706.0,3138.0,2095.0,1043.0,740751.0,2022,Cheboygan,17,0
1908.0,3549.0,2215.0,1334.0,856654.0,2022,Chippewa,18,0
1941.0,3639.0,2280.0,1359.0,854004.0,2022,Chippewa,18,0
2003.0,3778.0,2370.0,1408.0,895333.0,2022,Chippewa,18,0
2053.0,3911.0,2435.0,1476.0,920763.0,2022,Chippewa,18,0
2109.0,4083.0,2507.0,1576.0,965519.0,2022,Chippewa,18,0
2118.0,4136.0,2524.0,1612.0,981919.0,2022,Chippewa,18,0
2185.0,4272.0,2607.0,1665.0,981137.0,2022,Chippewa,18,0
2231.0,4350.0,2649.0,1701.0,979818.0,2022,Chippewa,18,0
2171.0,4224.0,2574.0,1650.0,965651.0,2022,Chippewa,18,0
2205.0,4275.0,2614.0,1661.0,1006461.0,2022,Chippewa,18,0
2203.0,4254.0,2605.0,1649.0,996734.0,2022,Chippewa,18,0
2195.0,4239.0,2604.0,1635.0,997813.0,2022,Chippewa,18,0
2110.0,4059.0,2499.0,1561.0,950151.0,2022,Chippewa,18,0
3329.0,6030.0,4112.0,1918.0,1462224.0,2022,Clare,19,0
3358.0,6098.0,4169.0,1929.0,1463839.0,2022,Clare,19,0
3385.0,6177.0,4197.0,1980.0,1506960.0,2022,Clare,19,0
3404.0,6280.0,4241.0,2039.0,1504269.0,2022,Clare,19,0
3437.0,6352.0,4291.0,2061.0,1537498.0,2022,Clare,19,0
3528.0,6534.0,4411.0,2123.0,1558991.0,2022,Clare,19,0
3588.0,6615.0,4469.0,2146.0,1567314.0,2022,Clare,19,0
3661.0,6717.0,4554.0,2163.0,1564209.0,2022,Clare,19,0
3578.0,6555.0,4459.0,2096.0,1559419.0,2022,Clare,19,0
3609.0,6582.0,4480.0,2102.0,1572633.0,2022,Clare,19,0
3572.0,6482.0,4434.0,2048.0,1547672.0,2022,Clare,19,0
3584.0,6469.0,4447.0,2022.0,1538787.0,2022,Clare,19,0
3503.0,6408.0,4355.0,2052.0,1531985.0,2022,Clare,19,0
2331.0,4573.0,2693.0,1880.0,1089278.0,2022,Clinton,20,0
2353.0,4614.0,2709.0,1905.0,1079020.0,2022,Clinton,20,0
2424.0,4748.0,2782.0,1966.0,1117000.0,2022,Clinton,20,0
2419.0,4722.0,2781.0,1941.0,1103085.0,2022,Clinton,20,0
2443.0,4784.0,2816.0,1968.0,1116931.0,2022,Clinton,20,0
2453.0,4795.0,2834.0,1961.0,1137195.0,2022,Clinton,20,0
2517.0,4931.0,2895.0,2036.0,1149694.0,2022,Clinton,20,0
2614.0,5137.0,3004.0,2133.0,1156003.0,2022,Clinton,20,0
2513.0,4912.0,2893.0,2019.0,1145014.0,2022,Clinton,20,0
2506.0,4882.0,2879.0,2003.0,1141969.0,2022,Clinton,20,0
2543.0,4953.0,2924.0,2029.0,1161874.0,2022,Clinton,20,0
2563.0,5030.0,2952.0,2078.0,1172403.0,2022,Clinton,20,0
2473.0,4840.0,2847.0,1993.0,1130789.0,2022,Clinton,20,0
1086.0,1932.0,1301.0,631.0,466123.0,2022,Crawford,21,0
1085.0,1946.0,1299.0,647.0,461726.0,2022,Crawford,21,0
1109.0,1988.0,1328.0,660.0,478991.0,2022,Crawford,21,0
1117.0,1999.0,1345.0,654.0,479892.0,2022,Crawford,21,0
1140.0,2022.0,1360.0,662.0,493689.0,2022,Crawford,21,0
1167.0,2068.0,1395.0,673.0,500646.0,2022,Crawford,21,0
1197.0,2130.0,1441.0,689.0,496826.0,2022,Crawford,21,0
1220.0,2186.0,1476.0,710.0,500289.0,2022,Crawford,21,0
1158.0,2063.0,1406.0,657.0,493144.0,2022,Crawford,21,0
1151.0,2064.0,1394.0,670.0,496651.0,2022,Crawford,21,0
1166.0,2076.0,1414.0,662.0,493834.0,2022,Crawford,21,0
1170.0,2081.0,1422.0,659.0,497818.0,2022,Crawford,21,0
1147.0,2046.0,1382.0,665.0,488302.0,2022,Crawford,21,0
2209.0,3817.0,2583.0,1234.0,937740.0,2022,Delta,22,0
2221.0,3853.0,2598.0,1255.0,934829.0,2022,Delta,22,0
2275.0,3989.0,2680.0,1309.0,966569.0,2022,Delta,22,0
2297.0,4096.0,2720.0,1376.0,970116.0,2022,Delta,22,0
2300.0,4146.0,2735.0,1411.0,997514.0,2022,Delta,22,0
2309.0,4134.0,2738.0,1396.0,996617.0,2022,Delta,22,0
2343.0,4202.0,2776.0,1426.0,998064.0,2022,Delta,22,0
2440.0,4353.0,2890.0,1463.0,994026.0,2022,Delta,22,0
2332.0,4168.0,2761.0,1407.0,978439.0,2022,Delta,22,0
2340.0,4189.0,2773.0,1416.0,994909.0,2022,Delta,22,0
2355.0,4213.0,2784.0,1429.0,992876.0,2022,Delta,22,0
2342.0,4145.0,2759.0,1386.0,983433.0,2022,Delta,22,0
2314.0,4109.0,2733.0,1376.0,978761.0,2022,Delta,22,0
1342.0,2383.0,1557.0,826.0,575706.0,2022,Dickinson,23,0
1346.0,2393.0,1569.0,824.0,574820.0,2022,Dickinson,23,0
1369.0,2433.0,1587.0,846.0,590877.0,2022,Dickinson,23,0
1385.0,2486.0,1610.0,876.0,592877.0,2022,Dickinson,23,0
1383.0,2500.0,1612.0,888.0,605518.0,2022,Dickinson,23,0
1405.0,2528.0,1634.0,894.0,604605.0,2022,Dickinson,23,0
1439.0,2599.0,1677.0,922.0,610203.0,2022,Dickinson,23,0
1484.0,2667.0,1731.0,936.0,606313.0,2022,Dickinson,23,0
1395.0,2505.0,1618.0,887.0,590904.0,2022,Dickinson,23,0
1423.0,2550.0,1644.0,906.0,600052.0,2022,Dickinson,23,0
1441.0,2578.0,1669.0,909.0,611238.0,2022,Dickinson,23,0
1451.0,2592.0,1684.0,908.0,616115.0,2022,Dickinson,23,0
1405.0,2518.0,1633.0,885.0,598269.0,2022,Dickinson,23,0
5059.0,9395.0,5692.0,3703.0,2268604.0,2022,Eaton,24,0
5074.0,9443.0,5721.0,3722.0,2244441.0,2022,Eaton,24,0
5125.0,9606.0,5809.0,3797.0,2297420.0,2022,Eaton,24,0
5273.0,9911.0,5969.0,3942.0,2331522.0,2022,Eaton,24,0
5306.0,9964.0,6025.0,3939.0,2366999.0,2022,Eaton,24,0
5257.0,9826.0,5953.0,3873.0,2347081.0,2022,Eaton,24,0
5365.0,10032.0,6082.0,3950.0,2342629.0,2022,Eaton,24,0
5532.0,10352.0,6250.0,4102.0,2355224.0,2022,Eaton,24,0
5295.0,9953.0,5992.0,3961.0,2353008.0,2022,Eaton,24,0
5333.0,9997.0,6047.0,3950.0,2363133.0,2022,Eaton,24,0
5395.0,10041.0,6105.0,3936.0,2372861.0,2022,Eaton,24,0
5389.0,10021.0,6079.0,3942.0,2411354.0,2022,Eaton,24,0
5284.0,9878.0,5977.0,3901.0,2337856.0,2022,Eaton,24,0
1109.0,1929.0,1280.0,649.0,470911.0,2022,Emmet,25,0
1126.0,1971.0,1293.0,678.0,473719.0,2022,Emmet,25,0
1122.0,2029.0,1302.0,727.0,490030.0,2022,Emmet,25,0
1147.0,2055.0,1334.0,721.0,485128.0,2022,Emmet,25,0
1146.0,2078.0,1339.0,739.0,494850.0,2022,Emmet,25,0
1171.0,2119.0,1367.0,752.0,507622.0,2022,Emmet,25,0
1215.0,2196.0,1422.0,774.0,508245.0,2022,Emmet,25,0
1245.0,2254.0,1451.0,803.0,515038.0,2022,Emmet,25,0
1187.0,2163.0,1396.0,767.0,514961.0,2022,Emmet,25,0
1205.0,2162.0,1413.0,749.0,516590.0,2022,Emmet,25,0
1214.0,2191.0,1418.0,773.0,518597.0,2022,Emmet,25,0
1205.0,2151.0,1397.0,754.0,516405.0,2022,Emmet,25,0
1174.0,2108.0,1368.0,741.0,501008.0,2022,Emmet,25,0
41211.0,75885.0,45632.0,30253.0,18487215.0,2022,Genesee,26,0
41281.0,76097.0,45755.0,30342.0,18351304.0,2022,Genesee,26,0
41471.0,76798.0,46080.0,30718.0,18784354.0,2022,Genesee,26,0
42225.0,78579.0,46991.0,31588.0,18850319.0,2022,Genesee,26,0
42379.0,78927.0,47203.0,31724.0,19242931.0,2022,Genesee,26,0
42634.0,79252.0,47491.0,31761.0,19214171.0,2022,Genesee,26,0
43685.0,81231.0,48654.0,32577.0,19381809.0,2022,Genesee,26,0
44889.0,83628.0,49987.0,33641.0,19458765.0,2022,Genesee,26,0
42957.0,80068.0,47843.0,32225.0,19246167.0,2022,Genesee,26,0
43047.0,80040.0,47858.0,32182.0,19364281.0,2022,Genesee,26,0
43187.0,79877.0,47996.0,31881.0,19329748.0,2022,Genesee,26,0
43002.0,79320.0,47785.0,31535.0,19254454.0,2022,Genesee,26,0
42664.0,79142.0,47440.0,31702.0,19080460.0,2022,Genesee,26,0
1919.0,3244.0,2276.0,968.0,790419.0,2022,Gladwin,27,0
1924.0,3243.0,2281.0,962.0,784182.0,2022,Gladwin,27,0
1950.0,3344.0,2332.0,1012.0,820839.0,2022,Gladwin,27,0
2012.0,3463.0,2407.0,1056.0,841115.0,2022,Gladwin,27,0
2015.0,3493.0,2421.0,1072.0,849657.0,2022,Gladwin,27,0
2038.0,3555.0,2459.0,1096.0,851578.0,2022,Gladwin,27,0
2077.0,3648.0,2508.0,1140.0,863930.0,2022,Gladwin,27,0
